ligand,binding score,energy
HJPHIJVSRJVAGC-SSDOTTSWSA-N,850259.31,-3.6
SLYPOVJCSQHITR-UHFFFAOYSA-N,635342.79,-5.0
AJOQSQHYDOFIOX-SECBINFHSA-N,192120.6,-6.1
IMYZQPCYWPFTAG-YWVKMMECSA-N,605362.38,-4.4
LEVWYRKDKASIDU-IMJSIDKUSA-N,1901543.22,-4.5
OFZCIYFFPZCNJE-GFCCVEGCSA-N,1331021.32,-5.2
KWGRBVOPPLSCSI-WPRPVWTQSA-N,310741.56,-5.2
JFPVXVDWJQMJEE-IZRZKJBUSA-N,902093.36,-6.6
NETZHAKZCGBWSS-CEDHKZHLSA-N,313936.6,-6.9
WWZKQHOCKIZLMA-UHFFFAOYSA-N,244619.84,-4.9
FBPFZTCFMRRESA-JGWLITMVSA-N,304033.3,-5.0
VWVSBHGCDBMOOT-IIEHVVJPSA-N,348952.83,-7.1
BUGYDGFZZOZRHP-CDECOKDKSA-N,717152.99,-5.5
BMOVQUBVGICXQN-MKPDMIMOSA-N,843844.94,-7.0
DCSCXTJOXBUFGB-JGVFFNPUSA-N,1263533.68,-4.9
IRYJRGCIQBGHIV-UHFFFAOYSA-N,1148508.16,-4.3
FEWJPZIEWOKRBE-JCYAYHJZSA-N,278756.69,-4.8
LGAJOMLFGCSBFF-OLXDQKQCSA-N,333682.01,-7.4
OIRCOABEOLEUMC-GEJPAHFPSA-N,670802.36,-1.3
WMCMJIGLYZDKRN-ZDUSSCGKSA-N,395859.7,-6.9
LCAAMXMULMCKLJ-UHFFFAOYSA-N,702410.67,-6.6
PVHUJELLJLJGLN-INIZCTEOSA-N,1201699.36,-5.4
GZUITABIAKMVPG-UHFFFAOYSA-N,421588.71,-7.3
DKGZKTPJOSAWFA-UHFFFAOYSA-N,315558.86,-7.4
WOFMFGQZHJDGCX-ZULDAHANSA-N,500177.48,-6.4
WYRWAVVTDKZRIJ-MRXNPFEDSA-N,411843.89,-6.6
YFDSDPIBEUFTMI-UHFFFAOYSA-N,143707.22,-3.0
WTFXJFJYEJZMFO-UHFFFAOYSA-N,1072228.75,-6.1
UDMBCSSLTHHNCD-KQYNXXCUSA-N,316003.41,-6.5
PAZJSJFMUHDSTF-AWEZNQCLSA-N,1053674.46,-5.2
CHBRHODLKOZEPZ-UHFFFAOYSA-N,1164031.44,-6.3
YGCODSQDUUUKIV-UHFFFAOYSA-N,349092.89,-5.1
AKUJBENLRBOFTD-QZIXMDIESA-N,707067.59,-7.7
PYVUMAGVCSQCBD-RFAUZJTJSA-N,683489.49,-6.5
TZADDXVKYWMEHX-YFKPBYRVSA-N,1316679.07,-4.9
HTJXMOGUGMSZOG-UHFFFAOYSA-N,683245.17,-6.3
XCPGHVQEEXUHNC-UHFFFAOYSA-N,834578.37,-7.1
YMFIJXDFAPHJIN-SECBINFHSA-N,680181.94,-5.2
NJCJBUHJQLFDSW-UHFFFAOYSA-N,583583.67,-7.3
WDICTQVBXKADBP-UHFFFAOYSA-N,395620.59,-5.2
WYMSBXTXOHUIGT-UHFFFAOYSA-N,1119666.76,-5.4
BJOLKYGKSZKIGU-UHFFFAOYSA-N,1290326.0,-4.1
KRMDCWKBEZIMAB-UHFFFAOYSA-N,466788.67,-6.8
LVRLSYPNFFBYCZ-VGWMRTNUSA-N,802410.72,-6.5
HNDVDQJCIGZPNO-YFKPBYRVSA-N,986859.83,-4.7
PFTAWBLQPZVEMU-DZGCQCFKSA-N,715827.04,-7.3
